cutoff,cumulative_gain,probability
5000,301680000,0.43170350478670494
8000,354000000,0.3096095314081753
10000,370940000,0.25354049097278547
11000,368880000,0.2316363867985595
12000,362140000,0.2113072688951147
15000,345820000,0.16661838200025061
20000,314460000,0.11821919163205231
