Feature	Gain
Column_1884	3380.206550836563
Column_1271	3353.699654817581
Column_526	3292.3344012498856
Column_818	3285.9753863811493
Column_485	3227.017100572586
Column_792	3217.6841418743134
Column_1606	3212.8623863458633
Column_1431	3094.125146150589
Column_1432	3071.3652148246765
Column_1435	3058.724155664444
Column_1250	3040.3020889759064
Column_1535	2994.015644788742
Column_1496	2981.520868062973
Column_313	2970.320588350296
Column_504	2920.0068311691284
Column_1296	2898.1620161533356
Column_1385	2894.8010430336
Column_133	2882.516988158226
Column_1424	2873.366203188896
Column_1255	2841.4649131298065
Column_131	2825.993834257126
Column_4	2803.0218933820724
Column_1345	2797.4053440093994
Column_1702	2796.507946252823
Column_1655	2786.1722223758698
Column_132	2783.7433239221573
Column_316	2782.3271753787994
Column_1536	2761.709927558899
Column_1412	2715.9715468883514
Column_1242	2715.6334385871887
Column_1256	2676.6117026805878
Column_1507	2672.638412952423
Column_108	2639.8512156009674
Column_1505	2630.608953475952
Column_1693	2624.282020330429
Column_785	2624.281357526779
Column_129	2622.606969833374
Column_817	2600.6165330410004
Column_781	2588.366921901703
Column_158	2587.510259628296
Column_1455	2583.8592274188995
Column_1503	2581.0595242977142
Column_5	2566.953752756119
Column_111	2554.491513967514
Column_1230	2551.886964559555
Column_825	2542.93716609478
Column_326	2540.1507184505463
Column_110	2534.0517299175262
Column_70	2532.7983870506287
Column_1310	2502.643450856209
Column_1452	2487.8896753787994
Column_819	2478.069458246231
Column_1699	2466.446734905243
Column_1501	2434.941442012787
Column_527	2422.5456887483597
Column_1667	2395.237895846367
Column_1791	2381.597727537155
Column_823	2335.6685857772827
Column_798	2334.9473091363907
Column_1204	2313.0360172986984
Column_768	2294.104467153549
Column_1583	2289.88150703907
Column_993	2254.181566953659
Column_464	2248.861875295639
Column_462	2240.250508785248
Column_341	2239.713163614273
Column_314	2238.5330731868744
Column_1265	2236.96120429039
Column_689	2230.010308742523
Column_676	2221.4074788093567
Column_1309	2213.8910241127014
Column_1045	2206.910936355591
Column_1140	2202.8982713222504
Column_288	2186.0510799884796
Column_443	2153.14843416214
Column_1686	2152.1456503868103
Column_503	2149.9560965299606
Column_784	2122.2630932331085
Column_1295	2114.7250242233276
Column_925	2111.8570370674133
Column_1206	2111.6266148090363
Column_6	2098.2179028987885
Column_767	2096.7016673088074
Column_505	2088.7830233573914
Column_1585	2084.219393491745
Column_1138	2080.4895403385162
Column_1098	2067.527722120285
Column_143	2058.3437530994415
Column_306	2053.289715886116
Column_566	2053.1713926792145
Column_1658	2043.9619369506836
Column_298	2018.672946691513
Column_360	2014.424510717392
Column_851	1991.4498504400253
Column_868	1974.9607989788055
Column_18	1972.0814143419266
Column_1311	1956.8095253705978
Column_1096	1956.4992686510086
