fecha	iter	num_iterations	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	metrica	metrica_mejor
20251116.072957	1	10	0.03045821654124731	0.3164830302387162	148	5	279585307.3463268	279585307.3463268
20251116.073349	3	341	0.004405016600966403	0.6599354602832584	2	24	310560809.5952024	310560809.5952024
20251116.073417	4	3	0.2579684663595874	0.6027432574536075	1	543	306896516.7416292	310560809.5952024
20251116.073458	5	30	0.29875347882282827	0.7858204912811553	3857	49	337610134.93253374	337610134.93253374
20251116.073521	6	8	0.05919294599032398	0.11802349152781678	147	2	272493153.42328835	337610134.93253374
20251116.073727	7	34	0.06777845466342593	0.6909109046624127	2	778	333357641.17941034	337610134.93253374
20251116.073830	8	61	0.08610091984853209	0.3019244971464188	7	3	305887331.3343328	337610134.93253374
20251116.073850	9	1	0.07599566244889834	0.6173128232658706	1	36	291654382.80859566	337610134.93253374
20251116.074223	10	390	0.00965893509303845	0.9899346059331209	82	10	318680169.9150425	337610134.93253374
20251116.074343	12	23	0.19164489578423355	0.8017062165295891	13	609	341751844.077961	341751844.077961
20251116.074417	13	13	0.2194856156517223	0.8647211216048221	23	155	334041939.0304848	341751844.077961
20251116.074833	14	141	0.2349161539111146	0.8255764318716119	670	322	352521349.32533735	352521349.32533735
20251116.084120	16	1444	0.025984675031518058	0.4844265918454037	666	307	360325902.0489755	360325902.0489755
20251116.090459	17	936	0.028739166991413382	0.5289746893381831	874	80	350790119.94003	360325902.0489755
20251116.093754	19	1996	0.03248585968833381	0.13788923835148525	376	241	359239245.37731135	360325902.0489755
20251116.094739	20	1319	0.03215531095347658	0.08010609971191451	288	20	347474082.95852077	360325902.0489755
20251116.095503	21	491	0.006028387427551805	0.2135916700677996	40	83	334782143.928036	360325902.0489755
20251116.095708	25	71	0.12903804874514385	0.49510859599460155	244	104	344343628.185907	360325902.0489755
20251116.100404	26	237	0.019284457476300854	0.42067253611293676	96	226	344076076.96151924	360325902.0489755
20251116.100558	28	110	0.4943558620989006	0.300586924822768	43	50	335471329.33533233	360325902.0489755
20251116.101253	30	1082	0.036508512020101774	0.7145489095182906	190	9	342801754.1229385	360325902.0489755
20251116.102545	32	650	0.02841358333597366	0.3634882047322135	450	87	350279085.45727134	360325902.0489755
20251116.103031	34	291	0.010735425121474032	0.21900564965995006	952	128	330544192.90354824	360325902.0489755
20251116.110935	35	1261	0.05139206016774454	0.5573725229181227	332	189	356783443.27836084	360325902.0489755
20251116.112614	36	437	0.09390646759388073	0.6378300770362217	137	394	361407201.39930034	361407201.39930034
20251116.114310	37	399	0.09993283631541267	0.6278637745231864	130	504	361506631.6841579	361506631.6841579
20251116.120232	38	365	0.09356312898313192	0.6248876610494957	170	573	360841349.3253373	361506631.6841579
20251116.122353	39	390	0.16239257419204736	0.6225621592593309	127	652	360942458.7706147	361506631.6841579
20251116.122836	40	91	0.1007010649348393	0.6359233307414056	117	616	351927506.2468766	361506631.6841579
20251116.124712	41	353	0.15800043426031582	0.7481724616321239	53	682	362747526.23688155	362747526.23688155
20251116.130555	42	341	0.17119485194933592	0.7550438084572803	54	715	364422653.6731634	364422653.6731634
20251116.130850	43	45	0.33805724712537666	0.7453467407690114	61	734	347874422.7886057	364422653.6731634
20251116.132051	44	273	0.15247949153733453	0.6964042192551275	22	438	356946196.9015492	364422653.6731634
20251116.134552	45	411	0.1632924674425877	0.7348589966458072	59	712	362703853.07346326	364422653.6731634
20251116.135218	46	146	0.3074371243210119	0.7761873920655247	14	452	357396491.754123	364422653.6731634
20251116.142815	47	557	0.0731547797968095	0.7475000441692135	6	839	362655192.4037981	364422653.6731634
20251116.142836	48	1	0.06628153232857774	0.733438288601016	5	690	297297901.04947525	364422653.6731634
20251116.145802	49	657	0.18991398965332904	0.9031466873708369	5	867	357817171.4142928	364422653.6731634
20251116.151314	50	213	0.11768423002545841	0.6784813056176049	2	1009	349123428.2858571	364422653.6731634
