Feature	Gain
Visa_Fvencimiento_ratioavg6	833.9984010607004
mcaja_ahorro_avg3	833.8104882836342
mrentabilidad_annual_delta1	831.786054931581
mcuenta_debitos_automaticos_ratiomax6	829.912979722023
ctrx_quarter_ratio_avg3_avg6	829.1298365592957
kmes	827.1540873795748
Visa_mpagospesos_cv6	824.7830069959164
chomebanking_transacciones	823.6156248599291
mrentabilidad_lag2	819.666572779417
chomebanking_transacciones_max6	819.1506552398205
cproductos_delta2	814.841617166996
ctarjeta_visa_debitos_automaticos_ratioavg6	813.9284987077117
chomebanking_transacciones_tend6	812.3827344626188
cliente_edad_avg6	810.3085110783577
cliente_antiguedad_lag2	808.7944694459438
mcaja_ahorro_ratiomax6	807.6000201106071
thomebanking_ratioavg6	806.1516712531447
cliente_edad_cv6	801.0542538613081
mcuentas_saldo_tend6	798.062537536025
Visa_status	796.5573371872306
cmobile_app_trx	795.5424058586359
mrentabilidad_delta2	793.0201779380441
Visa_Fvencimiento_avg6	789.7891349345446
ctrx_quarter_vs_maximo	787.9351916015148
chomebanking_transacciones_ratiomax6	781.9303594753146
mcaja_ahorro_cambio_tend	779.3348665907979
mrentabilidad_ratioavg6	778.0083845034242
Master_fultimo_cierre_avg6	776.4999894052744
mcaja_ahorro_std6	776.4912029653788
Master_Fvencimiento_cv6	773.1528195366263
ctrx_quarter_normalizado_tend6	769.059118449688
cmobile_app_trx_tend6	758.5935918316245
Visa_Fvencimiento_min6	757.4539563879371
mcuentas_saldo_max6	757.3462368622422
ccomisiones_otras_cambio_tend	754.9473195895553
Visa_mpagospesos_tend6	753.5483697541058
mrentabilidad_lag1	750.4045464172959
Master_Fvencimiento_max6	747.2941883318126
chomebanking_transacciones_ratioavg6	741.6739365905523
cmobile_app_trx_max6	740.3046500086784
mrentabilidad_annual_tend6	740.0752893313766
Visa_mpagominimo_max6	738.807151004672
rf_005_013	735.5621880814433
Visa_mpagospesos_ratiomax6	734.260615453124
Visa_mpagospesos_vs_maximo	729.1088184416294
Visa_fultimo_cierre_tend6	728.1614848822355
cpayroll_trx_ratioavg6	727.6573485955596
mcuentas_saldo_lag1	726.3640143424273
mcomisiones_otras_ratiomax6	719.6828195266426
cliente_edad_lag1	712.7347422912717
mrentabilidad_annual_ratioavg6	711.5605668053031
Visa_Fvencimiento_lag1	711.4921526908875
mcuentas_saldo_delta2	709.194097854197
mactivos_margen_max6	702.9952510222793
mcaja_ahorro_lag2	702.7383096963167
ctarjeta_master_transacciones_ratiomax6	701.2149768546224
ccallcenter_transacciones_std6	700.6005574017763
Visa_fechaalta_ratioavg6	700.2886988334358
Master_fechaalta_cv6	698.6814735755324
cliente_antiguedad_ratioavg6	698.2613708004355
mpayroll_lag2	694.1509075313807
ctarjeta_visa_transacciones_tend6	694.0794979035854
mcomisiones_otras_max6	693.4730999618769
mcomisiones_otras	692.777813076973
mcuentas_saldo_avg3	691.655739068985
kmes_lag2	690.8842889517546
mcomisiones_mantenimiento_avg6	690.2325547263026
chomebanking_transacciones_lag2	690.0940901637077
Visa_mconsumospesos_cv6	689.8187701925635
mpasivos_margen_min6	689.1351636126637
Master_fechaalta_lag2	687.2706362009048
mactivos_margen_tend6	684.881970860064
Visa_mfinanciacion_limite_min6	682.3679451793432
mpasivos_margen_zscore	679.0829527750611
ccajas_transacciones_std6	678.2313633486629
mpasivos_margen_ratioavg6	677.5257046446204
mpasivos_margen_cv6	675.322151646018
tcallcenter_tend6	670.8044109568
ctrx_quarter_momentum	667.936870969832
mpasivos_margen_tend6	666.51378262043
mcomisiones_min6	666.2521262615919
Master_mlimitecompra	665.5384083539248
cproductos_tend6	664.308664418757
mcomisiones_mantenimiento_max6	663.2476469799876
ccaja_ahorro_max6	660.6687655672431
Master_Fvencimiento_cambio_tend	659.1734483093023
Visa_msaldototal_ratioavg6	657.737321421504
Visa_mconsumospesos	657.5788121297956
mcomisiones_otras_cv6	657.5144210383296
mcaja_ahorro_min6	654.3677708283067
ctrx_quarter_delta2	651.8862225860357
mttarjeta_visa_debitos_automaticos_tend6	651.3634841814637
mrentabilidad_tend6	650.1198870241642
catm_trx_other_cv6	647.4505960121751
mcuenta_corriente_delta1	644.1931448578835
ctrx_quarter_normalizado_ratiomax6	641.8093252256513
mpasivos_margen_std6	641.3758351132274
mpasivos_margen_lag1	641.0224112346768
mcaja_ahorro_avg6	639.203721281141
Visa_msaldototal_cv6	638.9451358057559
mcomisiones_otras_avg6	635.9154603928328
ctrx_quarter_std6	635.4460921511054
ctrx_quarter_zscore	634.2013002373278
mcuentas_saldo_lag2	631.2663018777966
Master_Fvencimiento_min6	628.273589886725
ccajas_depositos_cv6	627.6638411805034
ctrx_quarter_min6	627.1464440152049
mcuentas_saldo_vs_promedio	626.433049723506
Visa_fechaalta_max6	624.5910792425275
Master_Fvencimiento_lag1	624.1131809651852
Master_fultimo_cierre_tend6	623.802476733923
ccomisiones_otras_ratioavg6	620.5641258880496
mcomisiones_std6	620.2863071113825
Master_fechaalta_ratio_avg3_avg6	620.12343762815
mrentabilidad_max6	618.5639779046178
cliente_edad_max6	617.5064714998007
Visa_mpagominimo_lag2	617.2973081693053
Visa_mpagominimo_ratioavg6	615.7232447713614
ctrx_quarter_rango6	615.3949532881379
thomebanking_tend6	615.3392279148102
Visa_Fvencimiento_tend6	614.8045622855425
Visa_cconsumos_max6	612.233628988266
cmobile_app_trx_avg6	608.3655227571726
Visa_mpagospesos_zscore	607.8728835508227
Visa_fultimo_cierre_ratio_avg3_avg6	607.7333085983992
ccomisiones_otras_avg6	606.2820980548859
tmobile_app_tend6	600.9701808094978
Visa_mpagominimo_avg3	594.4383757337928
mcomisiones_otras_avg3	593.7060181051493
mcaja_ahorro_delta2	591.5407580509782
mcomisiones_max6	591.4284935742617
ctrx_quarter_tend6	590.7357249185443
mtransferencias_recibidas_avg6	589.448296405375
ccaja_seguridad	586.8433473482728
ctransferencias_recibidas_ratioavg6	585.0176654979587
Visa_mpagospesos_ratio_avg3_avg6	583.8998990133405
chomebanking_transacciones_lag1	579.4286921769381
mcaja_ahorro_max6	574.9920674711466
mpasivos_margen_lag2	573.0630898922682
mtransferencias_recibidas_ratioavg6	570.4492180421948
ctransferencias_recibidas_cv6	569.3840859010816
Visa_fechaalta_lag2	568.3802958279848
Visa_mlimitecompra	567.419863037765
Master_msaldototal	565.5857087746263
cliente_antiguedad_lag1	564.7767937034369
Visa_status_ratiomax6	563.210416816175
cmobile_app_trx_min6	562.7298201471567
mcaja_ahorro_rango6	561.5639892593026
chomebanking_transacciones_delta2	561.1587259620428
Visa_mpagominimo_min6	559.3551041856408
Master_mpagominimo	559.2192507088184
Master_mpagominimo_tend6	557.6994004100561
Master_mfinanciacion_limite_min6	554.2560842856765
Visa_msaldopesos_ratioavg6	553.6408433541656
Master_Fvencimiento_lag2	552.2928351089358
catm_trx_other_std6	551.8121951967478
Master_Fvencimiento_tend6	550.97359662503
cdescubierto_preacordado_avg6	550.9241539463401
chomebanking_transacciones_delta1	548.6657444611192
ctarjeta_visa_debitos_automaticos_tend6	546.3724965378642
Visa_cconsumos	546.2127759717405
Visa_mpagominimo_cv6	545.884259134531
mcomisiones_lag2	544.1730200722814
mcuentas_saldo_cambio_tend	544.1040938124061
Visa_mpagominimo_delta1	543.4709140732884
mpayroll_ratiomax6	542.3912294581532
mttarjeta_visa_debitos_automaticos_cv6	541.7538132965565
Visa_fultimo_cierre_cv6	540.9891850873828
ccomisiones_mantenimiento_tend6	540.9554345533252
Visa_mfinanciacion_limite_std6	538.9349795877934
ccuenta_debitos_automaticos_ratioavg6	537.5634185224771
internet_max6	536.286332949996
mcuentas_saldo_accel	534.4723004251719
Master_msaldopesos	534.2919245436788
Master_Fvencimiento_avg6	534.2762462049723
mcomisiones_cv6	533.1133262440562
Visa_cconsumos_avg6	532.6272429525852
mcomisiones_mantenimiento_delta2	532.049811385572
utilizacion_credito_master	529.431477651
Visa_mpagospesos_cambio_tend	527.6572977229953
cproductos_lag2	527.082754008472
Visa_mpagospesos_max6	526.5617409348488
Master_fechaalta_cambio_tend	526.3106488212943
mtransferencias_recibidas_max6	525.6229651123285
Visa_mfinanciacion_limite_ratio_avg3_avg6	524.9668090939522
ctransferencias_recibidas_std6	524.8550170585513
mcuentas_saldo_std6	524.5428470000625
mcomisiones_otras_zscore	523.731083728373
Visa_msaldototal_vs_maximo	521.2432287186384
Visa_mconsumospesos_tend6	519.4294530302286
Master_mfinanciacion_limite_lag2	518.4468619227409
Master_fechaalta_std6	518.2187054231763
cliente_edad_cambio_tend	517.5631420612335
mpayroll_avg3	510.1438056305051
Master_fechaalta_vs_promedio	509.4626907929778
mcaja_ahorro_lag1	508.38142973929644
mpasivos_margen_ratiomax6	507.9048682823777
ctrx_quarter_accel	507.0484460219741
mpasivos_margen_rango6	506.97421535104513
ccajas_transacciones_cv6	505.6851941049099
ctarjeta_visa_debitos_automaticos_ratiomax6	504.9442315623164
ratio_transacciones_visa_master	503.440026756376
Visa_mfinanciacion_limite_lag2	502.2677203938365
Master_Fvencimiento_ratioavg6	501.369244620204
ccajas_consultas_max6	500.4859437867999
Visa_mconsumospesos_min6	497.84069066494703
mcuentas_saldo_avg6	496.70557710528374
Master_fechaalta_zscore	495.37298672646284
Visa_fechaalta_avg6	494.54089023172855
Visa_mconsumospesos_max6	494.2597825601697
Visa_msaldopesos_ratiomax6	494.19495745003223
Visa_fultimo_cierre_std6	493.1003374904394
Visa_mfinanciacion_limite_vs_promedio	492.1547434255481
Visa_msaldototal_zscore	491.6426105648279
mextraccion_autoservicio_cv6	491.0975100696087
ctarjeta_debito_transacciones	490.9234738871455
mcaja_ahorro_momentum	490.5938175842166
Visa_mpagominimo_rango6	489.3112549856305
Visa_mpagominimo_lag1	489.0341513454914
mrentabilidad_delta1	488.0140270218253
mpasivos_margen_momentum	487.7903780192137
mttarjeta_visa_debitos_automaticos	486.67812621593475
mtransferencias_recibidas_ratiomax6	486.37301211059093
Visa_mfinanciacion_limite_cv6	484.9763028472662
cmobile_app_trx_delta2	481.66146314144135
Master_fultimo_cierre_lag1	481.0966491922736
Master_Fvencimiento_std6	480.81910140812397
ctarjeta_visa_cambio_tend	480.51491970568895
Visa_mfinanciacion_limite_cambio_tend	480.41528657078743
mpasivos_margen_avg6	478.6515231579542
mcaja_ahorro_dolares_lag2	476.82502146810293
ccomisiones_otras_vs_promedio	476.59694267064333
Visa_fultimo_cierre_max6	476.4104931280017
internet_ratioavg6	474.93463189154863
ccaja_seguridad_ratioavg6	473.7562887445092
mcuentas_saldo_min6	473.6492586545646
Master_fechaalta_tend6	473.4237655624747
ccomisiones_otras	472.99273770302534
cmobile_app_trx_ratiomax6	472.25743179023266
Visa_cconsumos_tend6	469.6628647111356
ratio_ingresos_egresos	468.86839240789413
Visa_delinquency_vs_promedio	468.758866250515
mrentabilidad_avg6	468.61522027105093
mtransferencias_recibidas_lag1	466.80372259020805
Visa_mpagominimo_zscore	466.33837393671274
ccomisiones_otras_max6	465.9841203391552
mcomisiones_otras_lag2	464.2118911445141
tcallcenter_ratioavg6	464.16718473285437
mcaja_ahorro_vs_promedio	462.74059268832207
Visa_cconsumos_ratioavg6	461.675157815218
Visa_mpagospesos_std6	458.90960785746574
