cutoff,cumulative_gain,probability
5000,332100000,0.17010022101161093
8000,379740000,0.040209644880730484
10000,395120000,0.018421106421036695
11000,398520000,0.013459491150732783
12000,398800000,0.009809864921907994
15000,383260000,0.004373613694759426
20000,340980000,0.001510842412603484
