cutoff,ensemble_gain,min_gain,max_gain,std_gain
5000,328824000.0,321180000,336000000,3621754.2710680966
8000,377478000.0,368040000,385200000,4395538.192303645
10000,392806000.0,381860000,402920000,4656033.075483893
11000,393086000.0,384480000,398520000,3923244.0658210395
12000,392378000.0,385540000,398800000,3717272.656128415
15000,381388000.0,377800000,389500000,2520257.129738948
20000,340512000.0,333180000,347220000,3031649.056206869
