cutoff,cumulative_gain,probability
5000,33132000,0.2667451850967838
8000,38442000,0.11278385738012532
10000,39746000,0.06925859896392592
11000,39774000,0.05544524457677825
12000,39802000,0.04525260705281595
15000,38872000,0.026346201289895548
20000,34488000,0.01253439054737798
