cutoff,ensemble_gain,min_gain,max_gain,std_gain
5000,328720000.0,320400000,336000000,4216491.432458982
8000,380572000.0,373500000,387540000,3826154.204942608
10000,396316000.0,389660000,405260000,4179777.9845345854
11000,397116000.0,382920000,407100000,4523103.359420388
12000,396096000.0,387100000,405820000,4546953.265649429
15000,383026000.0,376240000,393400000,3763180.0382123627
20000,341006000.0,333180000,348000000,3829068.2939848434
