cutoff,cumulative_gain,probability
5000,329760000,0.19382313773537557
8000,385980000,0.05691724676948247
10000,398240000,0.02993190734886742
11000,399300000,0.022727274330904355
12000,395680000,0.017540822271591813
15000,390280000,0.008842028481256968
20000,344880000,0.0036349477278851358
