Feature	Gain
Visa_Fvencimiento_max6	4985.457359552383
cliente_antiguedad_ratioavg6	4981.070259332657
ccuenta_debitos_automaticos_ratioavg6	4980.411591410637
ctrx_quarter_normalizado_tend6	4955.480389595032
mcuenta_debitos_automaticos_ratioavg6	4948.451533913612
cmobile_app_trx_tend6	4928.7841238975525
kmes_lag2	4899.591646075249
mcaja_ahorro_min6	4894.055627822876
mactivos_margen_ratioavg6	4887.774304866791
mpasivos_margen_ratioavg6	4882.137472271919
Visa_fultimo_cierre	4832.9528732299805
ctarjeta_visa_debitos_automaticos_ratioavg6	4765.670777320862
cmobile_app_trx_max6	4753.68582880497
mcuenta_debitos_automaticos_ratiomax6	4712.759041428566
ctarjeta_visa_transacciones_tend6	4708.553168773651
Master_fechaalta_ratioavg6	4702.07986164093
mrentabilidad_annual_delta2	4699.553526043892
ctrx_quarter_normalizado_delta2	4673.818532466888
mcomisiones_mantenimiento_tend6	4664.389001727104
mtransferencias_recibidas_avg6	4661.842217922211
mcaja_ahorro_lag2	4645.803828954697
mcomisiones_otras_max6	4643.024946928024
Visa_Fvencimiento_min6	4578.043902516365
cmobile_app_trx_ratiomax6	4572.644149303436
mcaja_ahorro_delta2	4572.522326588631
ctarjeta_visa_debitos_automaticos_tend6	4569.1185537576675
mpayroll_ratiomax6	4546.45747756958
Visa_mpagospesos_ratiomax6	4528.3386977911
mrentabilidad_annual_ratioavg6	4521.394702911377
mrentabilidad_annual_lag1	4509.895743608475
Visa_mpagominimo_avg6	4496.7967364788055
Master_Fvencimiento_min6	4478.758713960648
mtransferencias_recibidas_ratioavg6	4477.367684006691
Visa_fultimo_cierre_tend6	4470.655740261078
Master_Fvencimiento_avg6	4394.613008618355
kmes	4391.701338768005
mcuentas_saldo_lag2	4381.677290678024
cprestamos_personales_ratioavg6	4362.451634645462
mactivos_margen_delta1	4347.690248131752
rf_014_001	4347.08097743988
mcomisiones	4339.585904479027
mactivos_margen_tend6	4333.524838209152
mcomisiones_ratiomax6	4320.13557779789
Master_Fvencimiento_lag2	4312.56545484066
mprestamos_personales_delta1	4302.797262907028
Visa_mpagominimo_ratioavg6	4296.8039290905
mpayroll_lag2	4296.010436058044
Visa_Fvencimiento_avg6	4285.578340053558
mcuenta_corriente_delta1	4259.6812443733215
Master_Fvencimiento_ratioavg6	4259.219628095627
Visa_mpagominimo_delta1	4253.756250023842
Visa_msaldototal_ratioavg6	4208.0536016225815
mprestamos_personales_max6	4198.372792959213
Master_fechaalta_max6	4184.350192785263
Visa_cconsumos_avg6	4174.182257413864
Visa_Fvencimiento_lag1	4144.388305425644
mtransferencias_recibidas_max6	4125.95747089386
Visa_mfinanciacion_limite_min6	4122.82638669014
mrentabilidad_lag2	4120.377990245819
cprestamos_personales_ratiomax6	4114.351525783539
Visa_mpagominimo_lag1	4108.552838921547
cmobile_app_trx_avg6	4108.16858792305
ctarjeta_debito_transacciones_ratioavg6	4094.176842570305
mcomisiones_mantenimiento_delta2	4083.645246386528
Visa_cconsumos_tend6	4077.371620774269
Visa_fechaalta_lag2	4072.428966283798
chomebanking_transacciones_tend6	4064.669064760208
mcuentas_saldo_min6	4054.188933134079
mtransferencias_recibidas_ratiomax6	4049.3578717708588
ctransferencias_recibidas_ratioavg6	4044.811891436577
Visa_fechaalta_ratioavg6	4032.5604631900787
mrentabilidad_ratiomax6	4028.620959043503
Visa_mpagominimo_delta2	4026.7791826725006
tmobile_app_tend6	4022.8737527132034
Visa_Finiciomora_ratioavg6	4022.1778107881546
cmobile_app_trx_ratioavg6	4021.70981156826
Visa_fultimo_cierre_max6	4021.462076187134
chomebanking_transacciones	4003.0999369621277
cproductos_tend6	3998.439747095108
mpasivos_margen_lag2	3976.362233877182
mcaja_ahorro_dolares	3965.000044465065
ctrx_quarter_normalizado_min6	3958.9543018341064
Master_fultimo_cierre_max6	3927.3107585906982
cliente_antiguedad_lag1	3924.5507390499115
Master_fultimo_cierre_tend6	3923.521467924118
cprestamos_personales	3912.567347049713
Master_Fvencimiento_lag1	3909.9909496307373
Visa_mpagominimo_min6	3909.2054607868195
Visa_mpagospesos_max6	3900.837859392166
ctarjeta_master_transacciones_ratiomax6	3877.638430118561
mrentabilidad_delta2	3856.542209982872
cmobile_app_trx	3843.4355301856995
Master_fultimo_cierre	3823.8868882656097
mactivos_margen_max6	3799.99827170372
ctrx_quarter_min6	3794.4393240213394
ccomisiones_otras_ratioavg6	3777.7610092163086
Master_Finiciomora	3773.2524218559265
Visa_delinquency	3754.950872898102
cdescubierto_preacordado_avg6	3718.9449651241302
Master_fechaalta_lag2	3714.0814158916473
mrentabilidad_lag1	3705.643508195877
mcomisiones_mantenimiento_avg6	3681.940439939499
thomebanking_avg6	3679.6334269046783
chomebanking_transacciones_lag1	3636.2275927066803
mrentabilidad_annual_delta1	3623.8631871938705
Visa_mpagominimo_lag2	3611.346738576889
mcomisiones_lag2	3588.142695069313
Visa_mconsumospesos	3587.7888503074646
mcomisiones_mantenimiento_max6	3575.5747641324997
ctransferencias_recibidas_avg6	3574.8194801807404
mprestamos_personales_avg6	3549.717914581299
Master_msaldototal	3529.3983895778656
mpayroll_sobre_edad_delta2	3527.7813725471497
mpayroll_delta2	3518.950742483139
Visa_mpagospesos_min6	3512.2460585832596
mpasivos_margen_lag1	3499.8658270835876
ccaja_ahorro_ratioavg6	3498.8433529138565
cmobile_app_trx_lag2	3488.257619857788
ctarjeta_debito_transacciones_ratiomax6	3456.492745399475
mcaja_ahorro_delta1	3445.016879796982
Visa_cconsumos_ratioavg6	3439.3445398807526
Visa_mpagospesos_delta2	3405.7701625823975
Visa_mfinanciacion_limite_lag2	3397.7025032043457
cliente_edad_max6	3397.5042604207993
cproductos_avg6	3397.2329783439636
mpasivos_margen_delta2	3381.0429332256317
Visa_mlimitecompra	3371.706562757492
mrentabilidad_annual_tend6	3368.6976721286774
