foto_mes,ipc
201901,2.9
201902,3.8
201903,4.7
201904,3.4
201905,3.1
201906,2.7
201907,2.2
201908,4.0
201909,5.9
201910,3.3
201911,4.3
201912,3.7
202001,2.3
202002,2.0
202003,3.3
202004,1.5
202005,1.5
202006,2.2
202007,1.9
202008,2.7
202009,2.8
202010,3.8
202011,3.2
202012,4.0
202101,4.0
202102,3.6
202103,4.8
202104,4.1
202105,3.3
202106,3.2
202107,3.0
202108,2.5
